회원번호,가격구간,uplift_logit,uplift_rf,double_verified,single_verified,revenue_risk_flag,targeting_tier
1274589440,Q1_저가,0.1387348095967885,0.20005245360285,True,False,False,Tier1_최우선
349423552,Q4_고가,0.1196494623830232,0.1734083451445168,True,False,False,Tier1_최우선
77901888,Q3,0.03045771145011,0.156997184233763,True,False,False,Tier1_최우선
753368960,Q4_고가,0.0406188980849019,0.1566988459667151,True,False,False,Tier1_최우선
588862400,Q3,0.0346887802913243,0.1532571868431965,True,False,False,Tier1_최우선
765330880,Q4_고가,0.0463088636915665,0.1522829842930664,True,False,False,Tier1_최우선
567939712,Q4_고가,0.0502024287000429,0.1515655577236048,True,False,False,Tier1_최우선
202107264,Q4_고가,0.0356527979789857,0.1485865831336316,True,False,False,Tier1_최우선
743385536,Q2,0.0450114706184081,0.1473459721645169,True,False,False,Tier1_최우선
618272576,Q1_저가,0.1358456599078008,0.1461094378576773,True,False,False,Tier1_최우선
782075712,Q4_고가,0.0774449425877013,0.1447994309248073,True,False,False,Tier1_최우선
396194752,Q2,0.051820685293012,0.1422563975201889,True,False,False,Tier1_최우선
610607296,Q4_고가,0.0426898048968282,0.1416696756894941,True,False,False,Tier1_최우선
1451401280,Q4_고가,0.0376235184847191,0.1402018550611613,True,False,False,Tier1_최우선
1063656896,Q1_저가,0.0635779643858822,0.1393748206182983,True,False,False,Tier1_최우선
80080832,Q4_고가,0.0326234484418048,0.1392260778588697,True,False,False,Tier1_최우선
198087168,Q3,0.0327266846140368,0.1387994027137347,True,False,False,Tier1_최우선
767782656,Q3,0.0279249314898348,0.1386983292173065,True,False,False,Tier1_최우선
1391075712,Q1_저가,0.0270372939073775,0.1374414578374951,True,False,False,Tier1_최우선
1456948864,Q3,0.1259481158168984,0.1370558420715313,True,False,False,Tier1_최우선
1544977088,Q1_저가,0.0375593002919778,0.1364869273905564,True,False,False,Tier1_최우선
1489113344,Q3,0.0483436445133524,0.135640083011763,True,False,False,Tier1_최우선
749682944,Q3,0.0294516074976459,0.1356052475164897,True,False,False,Tier1_최우선
349172992,Q3,0.0494679400522117,0.1355501720466588,True,False,False,Tier1_최우선
1523349120,Q2,0.0429376406985464,0.1333314812145195,True,False,False,Tier1_최우선
1520561408,Q3,0.1250096694562879,0.1325331971876577,True,False,False,Tier1_최우선
75438976,Q4_고가,0.0575788620273803,0.1324092964704308,True,False,False,Tier1_최우선
238379072,Q4_고가,0.0427624867631384,0.1317150276884745,True,False,False,Tier1_최우선
1010144704,Q2,0.0497837764680315,0.1314776756068096,True,False,False,Tier1_최우선
850524992,Q4_고가,0.0454362746234483,0.129343713225447,True,False,False,Tier1_최우선
328602944,Q3,0.0354835599261557,0.1288725094783902,True,False,False,Tier1_최우선
965598848,Q2,0.0319163525378349,0.1283633351513946,True,False,False,Tier1_최우선
1066225600,Q3,0.0379262971170804,0.1268970707272501,True,False,False,Tier1_최우선
310699968,Q3,0.0340295906561308,0.1263480820056307,True,False,False,Tier1_최우선
279736320,Q1_저가,0.0362859677084902,0.1258669890939268,True,False,False,Tier1_최우선
597943808,Q4_고가,0.0281898575621803,0.1253059917122144,True,False,False,Tier1_최우선
769798272,Q1_저가,0.1286989944568928,0.1250664484544634,True,False,False,Tier1_최우선
777808768,Q3,0.03951765494568,0.1250076563153869,True,False,False,Tier1_최우선
