회원번호,가격구간,treatment_h4,uplift_forest
18764160,Q4_고가,0.0,-0.03528751842035627
18792000,Q1_저가,0.0,0.049585355360885514
18942336,Q4_고가,0.0,0.04738132425082331
18949760,Q3,,0.040306888837106564
19391488,Q1_저가,0.0,0.03513240195335614
19627200,Q4_고가,0.0,-0.0038633131765605233
19727424,Q4_고가,0.0,0.03199399406290959
19996544,Q4_고가,0.0,0.02876712115277369
20235968,Q3,,-0.11252264152518665
20258240,Q1_저가,0.0,0.03259010737654876
20588608,Q4_고가,0.0,-0.028458717181961246
20636864,Q3,0.0,0.01621311971082451
21134272,Q2,0.0,-0.010725175471769266
21457216,Q1_저가,0.0,0.04403995043541373
21982464,Q1_저가,,-0.04171925063194204
22112384,Q2,0.0,0.011873405441064633
22259008,Q3,,-0.030162479080494187
22270144,Q3,0.0,-0.051937783681482164
22990272,Q3,0.0,-0.01536113187823751
23437568,Q2,,-0.009875054946950068
23485824,Q2,0.0,-0.001154515945496204
23573056,Q1_저가,,0.05073799383090066
24098304,Q1_저가,1.0,0.04332560691391599
24883392,Q4_고가,0.0,0.007173520908854258
25145088,Q4_고가,0.0,0.053394907722378704
26110208,Q3,0.0,0.053984572885531684
26355200,Q2,,0.003274467310797613
26676288,Q3,0.0,-0.0001449806909025464
27021504,Q1_저가,0.0,0.037047664447921055
27066048,Q3,0.0,0.028353692072456305
27210816,Q1_저가,0.0,0.04694154292415696
27387136,Q3,0.0,-0.08750297495913906
28394944,Q3,1.0,0.04096379240995962
28871936,Q2,0.0,-0.050027714820093605
29658880,Q3,0.0,0.03447718850631809
29868608,Q1_저가,0.0,-0.022046423654413477
30215680,Q1_저가,,-0.023501805101229012
31691200,Q2,0.0,0.008783966392154285
37188672,Q4_고가,0.0,0.07040040011722792
37253632,Q2,0.0,0.03310336635090437
37314880,Q3,0.0,0.04009269680545833
37415104,Q4_고가,,-0.03530951936253596
37584000,Q3,0.0,-0.0029312386110936783
38270720,Q2,0.0,0.032112865194149076
38588096,Q4_고가,1.0,0.0009435283609037226
38593664,Q4_고가,,0.03084159690429699
38808960,Q4_고가,0.0,0.013440952335461609
38842368,Q2,0.0,0.02836252751271995
38859072,Q1_저가,0.0,0.03018354509248547
38862784,Q3,0.0,0.0681752354264421
38866496,Q1_저가,,0.048653988052685046
38903616,Q3,0.0,0.13629284672524872
38918464,Q3,1.0,-0.004307140885412952
38933312,Q3,0.0,0.024386939524090656
38955584,Q4_고가,0.0,-0.01075378086748302
38959296,Q2,0.0,-0.048790854937455386
38968576,Q2,0.0,-0.03152123919471711
39053952,Q4_고가,,0.06751936095059985
39284096,Q3,0.0,0.03168094802568204
39287808,Q4_고가,0.0,0.042008330219822754
39376896,Q4_고가,0.0,0.029892130970146022
39382464,Q4_고가,0.0,0.007232935406307428
39547648,Q1_저가,,0.04273696613804018
39640448,Q3,,-0.012044367415371793
39653440,Q2,0.0,-0.010416885533032327
39820480,Q2,1.0,0.04119340647291947
39955968,Q3,0.0,0.062461803313806574
40124864,Q4_고가,0.0,0.028689457603844365
40822720,Q2,0.0,0.03110709450918664
40898816,Q1_저가,0.0,0.05820988777574278
40969344,Q2,0.0,0.013227086119343742
41104832,Q4_고가,0.0,0.008200480330885718
41307136,Q1_저가,0.0,0.07562251330890424
41396224,Q1_저가,0.0,0.04039011319304593
41600384,Q4_고가,0.0,-0.017080550292063124
41739584,Q2,1.0,0.005512707491129337
41754432,Q4_고가,1.0,0.0018594270749365815
42058816,Q4_고가,0.0,0.06648891952477831
42097792,Q3,0.0,0.03542909706757992
42140480,Q4_고가,0.0,-0.010655796935861717
42307520,Q2,0.0,0.021230510463104646
42402176,Q3,0.0,0.0596251499891417
42474560,Q3,,-0.022561859508535842
42955264,Q4_고가,0.0,0.12490673976699729
43343168,Q1_저가,1.0,0.07317484773296928
43426688,Q3,0.0,-0.018375955606114047
43872128,Q2,0.0,-0.01855262811617686
43924096,Q4_고가,0.0,0.036559447342066675
44076288,Q4_고가,0.0,0.008056873460654201
44486464,Q2,1.0,-0.05563678048736631
44620096,Q2,0.0,-0.004669981386548783
44666496,Q1_저가,0.0,0.02021775700615805
44844672,Q4_고가,0.0,-0.04366201802715258
45022848,Q4_고가,0.0,-0.007150587055520907
45364352,Q4_고가,0.0,0.025996803169742955
45520256,Q4_고가,0.0,-0.010961413509209428
45932288,Q3,1.0,-0.01116034806059163
46038080,Q4_고가,0.0,0.029493345119262188
46056640,Q3,0.0,0.04796318635358418
46348032,Q3,0.0,0.10875175994450825
46487232,Q2,0.0,0.03029754325091938
46568896,Q3,0.0,-0.008002906694516976
46752640,Q4_고가,0.0,0.025757320296416114
46995776,Q3,0.0,-0.03462418299689701
47663936,Q2,1.0,0.022724990213435076
48088960,Q1_저가,0.0,0.044415855835512844
48183616,Q1_저가,0.0,0.02800930898178053
48296832,Q4_고가,0.0,0.011826843144639554
48398912,Q4_고가,0.0,0.04530436857114674
48590080,Q2,0.0,0.027620486462174104
48638336,Q4_고가,0.0,-0.03724101135551128
48859200,Q4_고가,0.0,0.07264146783746322
49035520,Q3,0.0,0.003054500304101787
49083776,Q4_고가,0.0,0.049094434256412134
49178432,Q3,0.0,0.07009237507975419
49742656,Q1_저가,0.0,0.030336718056991813
50290176,Q1_저가,0.0,0.027117660006886923
50650240,Q4_고가,1.0,0.053991259831466853
50776448,Q4_고가,,-0.011045722150259785
50793152,Q4_고가,0.0,0.06259475438972828
50798720,Q4_고가,0.0,0.04450306777643054
51142080,Q3,0.0,0.02165487305213143
51182912,Q1_저가,,0.05901074886180958
51184768,Q2,0.0,0.05068661151601856
51203328,Q1_저가,0.0,0.05402670699018767
51207040,Q3,0.0,0.05888446716990377
51574528,Q1_저가,0.0,-0.007007273160853145
51897472,Q3,0.0,0.054519166034542016
51927168,Q3,0.0,0.034313205133565755
52420864,Q4_고가,,-0.01577985691747541
52450560,Q2,,-0.03570441315618861
52480256,Q3,1.0,0.04399551622522472
52515520,Q2,0.0,-0.025159648817505542
52519232,Q4_고가,1.0,0.027469260477497537
52534080,Q3,0.0,0.027457160110964177
52558208,Q3,1.0,0.010232579117722018
52606464,Q1_저가,0.0,-0.05101416952353066
52767936,Q4_고가,,0.008257978448917291
52777216,Q1_저가,0.0,0.039702172807440234
52792064,Q2,,0.006805231494611541
52821760,Q4_고가,0.0,0.1330640695456493
52879296,Q3,0.0,0.02027875143708313
52886720,Q3,1.0,0.040890576841210446
52903424,Q4_고가,0.0,-0.0491698873009887
52931264,Q4_고가,0.0,0.038560613911607255
52953536,Q3,0.0,0.042109799498000644
53105728,Q4_고가,1.0,-0.011997748383321905
53157696,Q2,1.0,0.02163569316156383
53165120,Q3,1.0,-0.09989104394737269
53345152,Q4_고가,,0.08096351019638781
53361856,Q4_고가,0.0,0.0939778130562485
53365568,Q4_고가,0.0,0.02780721478413553
53367424,Q4_고가,0.0,0.003920043170689835
53372992,Q4_고가,1.0,0.039211960231139986
53382272,Q2,0.0,0.0761670886815542
53384128,Q4_고가,0.0,0.0476666676666645
53432384,Q4_고가,0.0,-0.013661471041922502
53465792,Q3,0.0,-0.028226911141333716
53543744,Q3,0.0,0.03621154438463958
53766464,Q3,,0.004362654872733102
53844416,Q4_고가,0.0,0.001980519322997143
53848128,Q3,,-0.12729550869231337
53874112,Q3,1.0,-0.02831967329796492
53905664,Q4_고가,0.0,0.04226960879162517
53942784,Q3,0.0,-0.05128048596808921
54067136,Q4_고가,1.0,0.0002421873486256887
54078272,Q2,0.0,0.020506006873432403
54109824,Q4_고가,0.0,0.0381152326238825
54119104,Q2,1.0,0.0394873292373798
54256448,Q3,0.0,0.017051832226449237
54416064,Q3,1.0,0.04203504338953534
54603520,Q4_고가,0.0,-0.030694591845138786
54605376,Q2,0.0,-0.05039466181885788
54612800,Q4_고가,0.0,0.02971891580111362
54616512,Q2,0.0,0.005680028565697048
54623936,Q2,0.0,-0.02918715257582627
54907904,Q3,0.0,0.009727847530625916
54911616,Q2,,-0.028515328541014462
54954304,Q4_고가,0.0,0.02318711610015327
